Months,2008,2009,2010,2011,2012,2013
1,10.32,11.35,10.63,11.01,12.27,11.91
2,10.34,11.55,10.67,11.03,12.28,11.91
3,10.30,11.60,10.66,10.99,12.25,11.87
4,10.28,11.61,10.66,10.95,12.20,11.86
5,10.26,10.93,10.30,10.86,11.85,11.78
6,10.19,9.40,10.13,10.52,11.63,11.62
7,10.14,8.76,9.59,10.19,11.24,11.44
8,9.29,8.72,9.32,9.85,10.92,11.21
9,8.56,8.67,9.05,9.58,10.62,11.04
10,8.40,7.84,8.86,9.25,10.24,10.83
11,7.93,7.48,8.71,9.07,9.95,10.70
12,7.83,7.49,8.03,9.01,9.55,10.57
13,7.93,7.19,7.97,8.90,9.30,10.45
14,7.56,6.84,7.42,8.80,8.95,10.39
15,7.01,6.55,7.41,8.59,8.70,10.36
16,6.87,6.38,7.34,8.34,8.41,10.35
17,6.25,6.33,7.33,8.18,8.20,,
18,6.25,5.82,7.35,8.04,8.04,,
19,5.94,5.91,7.33,7.80,7.90,,
20,4.97,5.91,7.17,7.76,7.79,,
21,4.46,5.90,7.15,7.66,7.68,,
22,4.41,5.84,7.00,7.59,7.61,,
23,4.40,5.70,6.94,7.48,7.55,,
24,4.16,5.52,6.90,7.42,7.52,,
25,3.95,5.44,6.83,7.33,7.49,,
26,3.93,5.32,6.84,7.27,7.46,,
27,3.95,5.34,6.83,7.18,7.45,,
28,3.97,5.27,6.80,7.10,7.44,,
29,3.75,5.31,6.74,7.01,7.44,,
30,3.74,5.21,6.73,6.96,,,
31,3.63,5.15,6.66,6.91,,,
32,3.67,5.15,6.61,6.87,,,
33,3.70,5.15,6.57,6.85,,,
34,3.66,5.05,6.52,6.83,,,
35,3.58,5.03,6.46,6.80,,,
36,3.55,5.00,6.40,6.78,,,
