Months,2010,2011,2012,2013
1,6.63,7.92,8.19,8.83
2,6.81,8.03,8.28,8.94
3,6.88,8.10,8.32,8.91
4,6.89,8.13,8.32,8.94
5,6.89,8.13,8.32,8.94
6,6.90,8.14,8.31,8.94
7,6.90,8.14,6.03,8.94
8,6.42,8.15,6.29,8.63
9,6.43,8.14,6.49,8.63
10,6.47,8.14,6.66,8.39
11,6.05,8.12,6.79,8.18
12,5.75,8.11,6.91,7.97
13,5.32,7.43,7.00,7.99
14,5.42,7.46,7.07,8.01
15,5.32,7.48,6.83,8.02
16,5.39,7.51,6.90,8.01
17,5.27,7.53,6.95,,
18,5.14,7.54,6.99,,
19,5.20,7.55,7.02,,
20,5.26,7.12,6.45,,
21,5.31,6.74,6.48,,
22,5.36,6.78,6.50,,
23,5.25,6.45,6.51,,
24,5.29,6.48,6.52,,
25,5.34,6.52,6.21,,
26,5.34,6.22,6.21,,
27,5.37,6.12,6.22,,
28,5.40,6.15,6.22,,
29,5.24,6.18,6.22,,
30,5.26,6.21,,,
31,5.29,5.93,,,
32,5.21,5.94,,,
33,5.23,5.95,,,
34,5.25,5.96,,,
35,5.27,5.96,,,
36,5.20,5.74,,,
37,5.22,5.74,,,
38,5.24,5.74,,,
39,5.18,5.74,,,
40,5.14,5.74,,,
41,5.15,,,,
42,5.16,,,,
43,5.17,,,,
44,5.17,,,,
45,5.17,,,,
46,5.18,,,,
47,5.18,,,,
48,5.18,,,,
