Months,2010,2011,2012,2013
1,13.78,14.27,16.08,16.64
2,13.78,14.28,16.09,16.64
3,13.78,14.27,16.06,16.62
4,13.72,14.08,16.02,16.60
5,13.62,13.39,15.65,16.43
6,13.62,11.95,15.17,16.19
7,13.24,11.62,14.64,15.98
8,12.13,11.22,14.03,15.71
9,11.99,10.64,13.49,15.45
10,11.64,9.81,12.94,15.11
11,10.64,9.66,12.36,14.96
12,10.19,9.49,12.17,14.82
13,9.88,9.14,11.93,14.61
14,9.40,8.90,11.73,14.48
15,8.96,8.58,11.16,14.45
16,8.53,8.51,10.85,14.41
17,8.50,8.34,10.55,,
18,8.41,8.13,10.19,,
19,8.35,8.27,10.02,,
20,8.37,8.08,9.70,,
21,8.23,8.07,9.71,,
22,8.06,7.95,9.72,,
23,8.13,7.90,9.50,,
24,8.08,7.60,9.49,,
25,7.79,7.40,9.46,,
26,7.57,7.30,9.48,,
27,7.42,7.17,9.50,,
28,7.37,7.03,9.50,,
29,7.27,6.88,9.48,,
30,7.31,6.85,,,
31,7.34,6.79,,,
32,7.40,6.83,,,
33,7.42,6.81,,,
34,7.42,6.80,,,
35,7.30,6.76,,,
36,7.21,6.74,,,
37,7.10,6.73,,,
38,7.08,6.74,,,
39,7.06,6.74,,,
40,7.12,6.75,,,
41,7.09,,,,
42,7.13,,,,
43,7.06,,,,
44,7.09,,,,
45,7.10,,,,
46,7.07,,,,
47,7.07,,,,
48,7.07,,,,
