Subject Area Name,Entity Group,Entity Name,Attribute Id,Display Name,Level1 Folder,Level2 Folder,Level3 Folder
Additional Pay,Additional Pay,D_EARNING_END_DT,1304001,Earning End Date,Additional Pay,Additional Pay - Earning Dt,%null%
Additional Pay,Additional Pay,D_EARNING_END_DT,1304011,Earning End Month,Additional Pay,Additional Pay - Earning Dt,%null%
Additional Pay,Additional Pay,D_EARNING_END_DT,1304024,Earning End Quarter,Additional Pay,Additional Pay - Earning Dt,%null%
Additional Pay,Additional Pay,D_EARNING_END_DT,1304025,Earning End Year,Additional Pay,Additional Pay - Earning Dt,%null%
Additional Pay,Additional Pay,D_PAY_EARNCODE,1305004,Earn Code,Additional Pay,Pay Earn Code,%null%
Additional Pay,Additional Pay,D_PAY_EARNCODE,1305005,Earn Descr Long,Additional Pay,Pay Earn Code,%null%
Additional Pay,Additional Pay,D_PAY_EARNCODE,1305006,Earn Descr Short,Additional Pay,Pay Earn Code,%null%
Additional Pay,Additional Pay,D_PAY_EARNCODE,1305007,Earn Sequence,Additional Pay,Pay Earn Code,%null%
Additional Pay,Additional Pay,D_PAY_EARNCODE,1305008,Subject FICA,Additional Pay,Pay Earn Code,%null%
Additional Pay,Additional Pay,D_PAY_EARNCODE,1305009,Subject FUT,Additional Pay,Pay Earn Code,%null%
Additional Pay,Additional Pay,D_PAY_EARNCODE,1305010,Subject FWT,Additional Pay,Pay Earn Code,%null%
Additional Pay,Additional Pay,D_PAY_EARNCODE,1305011,Subject Reg,Additional Pay,Pay Earn Code,%null%
Additional Pay,Additional Pay,F_ADDITIONAL_PAY,1306001,OK to Pay Reason,Additional Pay,Additional Pay TXN Fields,%null%
Additional Pay,Additional Pay,F_ADDITIONAL_PAY,1306007,Effective Start Date,Additional Pay,Additional Pay TXN Fields,%null%
Additional Pay,Additional Pay,F_ADDITIONAL_PAY,1306010,Goal Amount,Additional Pay,Additional Pay Measures,%null%
Additional Pay,Additional Pay,F_ADDITIONAL_PAY,1306011,Goal Balance,Additional Pay,Additional Pay Measures,%null%
Additional Pay,Additional Pay,F_ADDITIONAL_PAY,1306012,Hourly Rate,Additional Pay,Additional Pay Measures,%null%
Additional Pay,Additional Pay,F_ADDITIONAL_PAY,1306013,OK to Pay,Additional Pay,Additional Pay TXN Fields,%null%
Additional Pay,Additional Pay,F_ADDITIONAL_PAY,1306014,Other Hours,Additional Pay,Additional Pay Measures,%null%
Additional Pay,Additional Pay,F_ADDITIONAL_PAY,1306015,Other Pay,Additional Pay,Additional Pay Measures,%null%
Additional Pay,Additional Pay,F_ADDITIONAL_PAY,1306016,1st,Additional Pay,Additional Pay TXN Fields,%null%
Additional Pay,Additional Pay,F_ADDITIONAL_PAY,1306017,2nd,Additional Pay,Additional Pay TXN Fields,%null%
Additional Pay,Additional Pay,F_ADDITIONAL_PAY,1306018,3rd,Additional Pay,Additional Pay TXN Fields,%null%
Additional Pay,Additional Pay,F_ADDITIONAL_PAY,1306019,4th,Additional Pay,Additional Pay TXN Fields,%null%
Additional Pay,Additional Pay,F_ADDITIONAL_PAY,1306020,5th,Additional Pay,Additional Pay TXN Fields,%null%
Additional Pay,Additional Pay,F_ADDITIONAL_PAY,1306021,Latest Record,Additional Pay,Additional Pay TXN Fields,%null%
Additional Pay,Additional Pay,F_ADDITIONAL_PAY,1306022,Additional Sequence,Additional Pay,Additional Pay TXN Fields,%null%
Additional Pay,Additional Pay,F_ADDITIONAL_PAY,5011105,Effective End Date,Additional Pay,Additional Pay TXN Fields,%null%
Additional Pay,Company,D_COMPANY,2601002,Account Manager Name,Company,%null%,%null%
Additional Pay,Company,D_COMPANY,2601003,Company Address1,Company,%null%,%null%
Additional Pay,Company,D_COMPANY,2601004,Company Address2,Company,%null%,%null%
Additional Pay,Company,D_COMPANY,2601005,Company Address3,Company,%null%,%null%
Additional Pay,Company,D_COMPANY,2601006,Company Address4,Company,%null%,%null%
Additional Pay,Company,D_COMPANY,2601007,Company City,Company,%null%,%null%
Additional Pay,Company,D_COMPANY,2601010,Client Type,Company,%null%,%null%
Additional Pay,Company,D_COMPANY,2601011,Company Code,Company,%null%,%null%
Additional Pay,Company,D_COMPANY,2601012,Company Legal Name,Company,%null%,%null%
Additional Pay,Company,D_COMPANY,2601013,Company Live Date,Company,%null%,%null%
Additional Pay,Company,D_COMPANY,2601014,Company Name,Company,%null%,%null%
Additional Pay,Company,D_COMPANY,2601015,Company Plan Date,Company,%null%,%null%
Additional Pay,Company,D_COMPANY,2601016,Company Setup Date,Company,%null%,%null%
Additional Pay,Company,D_COMPANY,2601017,Company Term Date,Company,%null%,%null%
Additional Pay,Company,D_COMPANY,2601018,Company Country,Company,%null%,%null%
Additional Pay,Company,D_COMPANY,2601019,Company County,Company,%null%,%null%
Additional Pay,Company,D_COMPANY,2601020,Distribution Center,Company,%null%,%null%
Additional Pay,Company,D_COMPANY,2601025,Effective End Date,Company,%null%,%null%
Additional Pay,Company,D_COMPANY,2601026,Effective Start Date,Company,%null%,%null%
Additional Pay,Company,D_COMPANY,2601027,Effective Status,Company,%null%,%null%
Additional Pay,Company,D_COMPANY,2601028,Federal EIN,Company,%null%,%null%
Additional Pay,Company,D_COMPANY,2601031,HR Manager Name,Company,%null%,%null%
Additional Pay,Company,D_COMPANY,2601032,Legal Type,Company,%null%,%null%
Additional Pay,Company,D_COMPANY,2601035,NAICS,Company,%null%,%null%
Additional Pay,Company,D_COMPANY,2601036,Pay Group,Company,%null%,%null%
Additional Pay,Company,D_COMPANY,2601037,PF Client,Company,%null%,%null%
Additional Pay,Company,D_COMPANY,2601038,PF Client EIN,Company,%null%,%null%
Additional Pay,Company,D_COMPANY,2601039,PF Corp,Company,%null%,%null%
Additional Pay,Company,D_COMPANY,2601040,PF Div,Company,%null%,%null%
Additional Pay,Company,D_COMPANY,2601041,Company Postal,Company,%null%,%null%
Additional Pay,Company,D_COMPANY,2601049,Sales Representative Name,Company,%null%,%null%
Additional Pay,Company,D_COMPANY,2601051,Company State,Company,%null%,%null%
Additional Pay,Company,D_COMPANY,2601054,T2 Peo ID,Company,%null%,%null%
Additional Pay,Company,D_COMPANY,2601055,Termination Reason Code,Company,%null%,%null%
Additional Pay,Company,D_COMPANY,2601056,Termination Type,Company,%null%,%null%
Additional Pay,Company,D_COMPANY,3329410,Trinet Address 1,Company,%null%,%null%
Additional Pay,Company,D_COMPANY,3329411,Trinet Address 2,Company,%null%,%null%
Additional Pay,Company,D_COMPANY,3329412,Trinet Address 3,Company,%null%,%null%
Additional Pay,Company,D_COMPANY,3329413,Trinet Address 4,Company,%null%,%null%
Additional Pay,Company,D_COMPANY,3329433,Company Code + Name,Company,%null%,%null%
Additional Pay,Employee,D_EEO_AUDIT,3329486,From Date,Payroll,Payroll - Invoice Dt,%null%
Additional Pay,Employee,D_EEO_AUDIT,3329491,EEO From Date,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EEO_AUDIT,3329492,EEO To Date,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EEO_AUDIT,3329493,EEO Employee Status,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2307041,Last Date Worked,Employee,Audit - Employee,%null%
Additional Pay,Employee,D_EMPLOYEE,2602001,Action,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602002,Action Date,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602003,Action Descr,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602004,Action Reason,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602005,Action Reason Descr,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602012,Annual Benefit Base Rate,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602013,Annual Rate,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602014,Benefit Program ID,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602015,Benefit Status,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602016,Benefit Status Descr,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602017,Bonus,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602018,Bonus Descr,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602019,Business Title,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602020,Business Unit,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602021,Change Amount,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602022,Change Percentage,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602023,Company Date Over,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602024,Company Seniority Date,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602026,COBRA Action,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602028,Comp Rate,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602029,Daily Rate,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602033,Department Long Descr,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602036,Department Short Descr,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602037,Department Code,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602041,Earns Dist Type,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602042,EEO Class Code,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602043,EEO Class Long Descr,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602044,EEO Class Short Descr,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602045,EEO Code,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602046,EEO Code Long Descr,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602047,EEO Code Short Descr,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602048,Effective End Date,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602049,Effective Start Date,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602050,Variable Hours,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602052,Employee Class,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602053,Employee Record,Employee,%null%,%null%
Additional Pay,Employee,D_EMPLOYEE,2602054,Employee Status Descr Long,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602055,Employee Status Short Descr,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602056,Employee Status,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602057,Employee Type,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602058,Employee Type Descr,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602059,Employee ID,Employee,%null%,%null%
Additional Pay,Employee,D_EMPLOYEE,2602060,Estab Address1,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602061,Estab Address2,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602062,Estab Address3,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602063,Estab Address4,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602064,Estab Busn Phone,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602065,Estab City,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602066,Estab Country,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602067,Estab County,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602068,Estab Fax Number,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602070,Estab Long Descr,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602071,Estab Postal,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602072,Estab Reg Region,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602073,Estab Short Descr,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602074,Estab State,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602075,FLSA Category,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602076,FLSA Category Descr,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602077,FLSA Status Descr Long,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602078,FLSA Status Descr Short,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602079,FLSA Status,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602080,Full / Part Time,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602081,Full / Part Time Descr,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602082,GL Location Trans Code,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602083,Holiday Schedule,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602084,Hourly Rate,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602085,Increased Amount,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602086,Job Effective Date,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602087,Job Entry Date,Employee,Employee Addnl Info,%null%
Additional Pay,Employee,D_EMPLOYEE,2602088,Job Code,Employee,Employee Addnl Info,%null%
