Months,2010,2011,2012,2013
1,11.06,11.49,12.63,12.22
2,11.11,11.57,12.67,12.25
3,11.09,11.57,12.65,12.24
4,11.08,11.55,12.58,12.14
5,10.94,11.54,12.45,12.14
6,10.95,11.13,12.20,11.98
7,10.90,10.73,11.72,11.80
8,10.40,10.34,11.42,11.42
9,9.62,9.77,10.78,11.25
10,9.40,9.39,10.48,11.12
11,8.98,9.07,10.06,11.05
12,8.29,9.01,9.82,11.00
13,8.10,8.80,9.67,10.95
14,7.84,8.66,9.38,10.92
15,7.77,8.31,9.15,10.89
16,7.55,8.17,9.08,10.86
17,7.18,7.91,8.90,10.86
18,6.94,7.86,8.79,,
19,6.60,7.97,8.73,,
20,6.64,7.82,8.53,,
21,6.57,7.80,8.45,,
22,6.32,7.63,8.38,,
23,6.37,7.31,8.28,,
24,6.34,7.18,8.28,,
25,6.25,7.13,8.27,,
26,5.99,6.85,8.25,,
27,5.96,6.82,8.20,,
28,6.06,6.74,8.20,,
29,6.01,6.72,8.20,,
30,5.83,6.57,,,
31,5.71,6.50,,,
32,5.71,6.47,,,
33,5.68,6.45,,,
34,5.73,6.45,,,
35,5.78,6.43,,,
36,5.71,6.44,,,
37,5.68,6.43,,,
38,5.65,6.43,,,
39,5.57,6.42,,,
40,5.48,6.42,,,
41,5.46,6.42,,,
42,5.41,,,,
43,5.44,,,,
44,5.46,,,,
45,5.47,,,,
46,5.45,,,,
47,5.44,,,,
48,5.44,,,,
