Months,2010,2011,2012,2013
1,16.17,17.47,20.03,19.98
2,16.12,17.47,19.96,19.96
3,16.06,17.43,19.91,19.95
4,16.04,17.36,19.73,19.81
5,15.95,17.11,19.52,19.73
6,15.04,16.32,18.77,19.17
7,14.18,15.25,17.82,18.82
8,13.36,14.44,16.66,18.50
9,12.82,13.64,15.69,18.01
10,12.15,12.52,14.97,17.75
11,11.73,11.51,14.28,17.54
12,11.24,11.46,13.94,17.32
13,10.49,10.99,13.07,16.99
14,10.16,10.72,12.57,16.87
15,9.88,10.36,12.12,16.81
16,9.24,9.87,11.43,16.75
17,9.07,9.39,10.88,,
18,9.16,9.10,10.68,,
19,9.18,8.66,10.40,,
20,9.17,8.50,10.13,,
21,8.95,8.49,10.10,,
22,9.04,8.46,9.93,,
23,9.05,8.25,9.94,,
24,8.71,8.16,9.89,,
25,8.89,7.96,9.82,,
26,8.70,7.80,9.70,,
27,8.68,7.84,9.65,,
28,8.32,7.72,9.66,,
29,8.35,7.66,9.66,,
30,8.32,7.51,,,
31,8.26,7.57,,,
32,8.18,7.45,,,
33,8.16,7.42,,,
34,8.16,7.39,,,
35,8.26,7.39,,,
36,8.31,7.33,,,
37,8.26,7.35,,,
38,8.26,7.37,,,
39,8.33,7.37,,,
40,8.29,7.36,,,
41,8.34,,,,
42,8.18,,,,
43,8.15,,,,
44,8.18,,,,
45,8.11,,,,
46,8.12,,,,
47,8.13,,,,
48,8.13,,,,
