Months,2010,2011,2012,2013
1,17.76,19.57,22.79,23.48
2,17.84,19.59,22.79,23.47
3,17.79,19.33,22.74,23.43
4,17.75,19.37,22.68,23.39
5,17.72,17.71,22.39,23.01
6,17.67,17.43,21.83,22.30
7,16.18,16.48,21.07,21.90
8,15.07,15.97,19.95,21.31
9,15.21,14.77,18.96,20.66
10,15.36,14.24,18.40,20.13
11,14.79,13.60,17.94,19.92
12,13.71,13.16,17.26,19.55
13,13.08,12.49,16.46,19.27
14,11.75,12.55,15.78,19.16
15,11.35,11.86,15.00,19.06
16,10.34,11.46,14.49,19.01
17,10.28,11.18,13.96,,
18,10.21,10.74,13.61,,
19,9.96,10.40,13.19,,
20,9.90,9.94,12.88,,
21,9.59,9.92,12.63,,
22,9.77,9.80,12.46,,
23,9.50,9.52,12.45,,
24,9.08,9.33,12.34,,
25,8.87,9.20,12.36,,
26,8.65,9.08,12.25,,
27,8.35,9.05,12.23,,
28,8.06,8.80,12.21,,
29,7.99,8.79,12.21,,
30,8.04,8.81,,,
31,8.04,8.65,,,
32,8.06,8.74,,,
33,7.98,8.71,,,
34,7.97,8.71,,,
35,7.82,8.70,,,
36,7.84,8.74,,,
37,7.90,8.70,,,
38,7.71,8.69,,,
39,7.80,8.70,,,
40,7.60,8.67,,,
41,7.54,,,,
42,7.36,,,,
43,7.41,,,,
44,7.40,,,,
45,7.43,,,,
46,7.41,,,,
47,7.42,,,
48,7.42,,,
