Months,2008,2009,2010,2011,2012,2013
1,12.08,13.39,13.69,14.16,15.68,15.86
2,12.11,13.39,13.73,14.17,15.70,15.86
3,12.01,13.31,13.72,14.15,15.68,15.85
4,11.97,13.28,13.69,13.99,15.66,15.78
5,11.90,12.44,13.01,12.94,15.33,15.59
6,11.89,10.21,12.63,12.16,14.90,15.18
7,11.87,9.09,12.32,12.08,14.37,14.88
8,11.43,9.10,11.83,11.17,13.79,14.55
9,10.53,8.30,11.74,10.92,13.07,14.29
10,9.88,8.15,11.42,10.91,12.60,14.04
11,9.79,7.89,10.60,10.27,12.11,13.76
12,9.41,7.50,10.37,9.33,11.62,13.60
13,9.49,7.20,10.18,9.05,11.17,13.40
14,9.03,7.20,9.59,8.82,10.71,13.29
15,7.96,7.02,9.38,8.65,10.33,13.20
16,7.72,6.79,9.12,8.53,9.98,13.18
17,7.60,6.64,8.80,8.20,9.74,,
18,6.71,6.68,8.58,8.14,9.44,,
19,6.66,6.80,8.41,8.06,9.27,,
20,6.09,6.85,8.45,7.94,9.09,,
21,5.15,6.69,8.35,7.91,8.99,,
22,4.92,6.58,8.21,7.68,8.91,,
23,4.54,6.48,8.17,7.59,8.87,,
24,4.18,6.43,8.09,7.47,8.79,,
25,4.00,6.16,8.02,7.30,8.77,,
26,3.67,6.21,7.75,7.28,8.77,,
27,3.62,6.11,7.70,7.18,8.75,,
28,3.69,5.98,7.65,7.11,8.75,,
29,3.41,5.93,7.52,7.12,8.75,,
30,3.48,5.86,7.47,7.06,,,
31,3.24,5.81,7.43,7.00,,,
32,3.29,5.75,7.40,6.97,,,
33,3.19,5.73,7.33,6.96,,,
34,3.21,5.60,7.31,6.94,,,
35,3.22,5.58,7.31,6.94,,,
36,3.20,5.54,7.30,6.94,,,
