Months,2008,2009,2010,2011,2012,2013
1,13.84,15.37,15.69,16.86,19.29,19.57
2,13.76,15.33,15.66,16.84,19.28,19.56
3,13.68,15.28,15.60,16.75,19.22,19.50
4,13.58,15.23,15.50,16.60,19.04,19.32
5,13.44,13.44,15.01,16.26,18.61,18.68
6,13.33,12.15,14.24,15.60,18.07,17.96
7,12.02,12.01,12.43,14.78,17.28,17.11
8,11.62,11.75,11.46,14.60,16.65,16.22
9,7.94,10.74,11.10,14.09,15.53,15.62
10,7.48,9.92,10.60,13.94,14.86,15.28
11,6.99,9.30,10.24,13.49,14.27,14.91
12,7.33,9.29,9.60,12.91,13.57,14.66
13,6.68,8.76,9.62,12.42,13.13,14.45
14,6.97,8.57,9.23,12.30,12.62,14.26
15,6.13,8.45,9.23,12.17,12.16,14.13
16,5.64,7.80,9.05,12.11,11.75,14.09
17,5.49,7.90,8.68,11.92,11.57,,
18,5.60,7.68,8.66,11.36,11.17,,
19,4.14,7.58,8.68,10.92,10.87,,
20,2.56,7.48,8.44,10.75,10.61,,
21,2.31,7.02,8.13,10.78,10.41,,
22,1.93,6.80,8.11,10.43,10.36,,
23,1.03,6.64,7.87,10.27,10.29,,
24,0.82,6.67,7.89,10.14,10.23,,
25,0.57,6.50,7.84,10.01,10.22,,
26,0.39,6.42,7.83,9.55,10.19,,
27,0.02,6.45,7.72,9.48,10.18,,
28,-0.43,6.39,7.71,9.27,10.18,,
29,-0.29,6.42,7.59,9.25,10.18,,
30,-0.17,6.39,7.55,9.25,,,
31,-0.07,6.29,7.53,9.18,,,
32,-0.30,6.27,7.51,9.14,,,
33,-0.36,6.27,7.47,9.14,,,
34,-0.35,6.25,7.34,9.10,,,
35,-0.38,6.26,7.22,9.03,,,
36,-0.43,6.21,7.20,9.03,,,
