Months,2008,2009,2010,2011,2012,2013
1,18.05,20.01,20.51,21.25,24.84,25.43
2,18.00,19.85,20.44,21.10,24.96,25.45
3,17.81,19.65,19.88,21.00,24.88,25.36
4,17.59,19.40,19.67,20.89,24.74,25.21
5,17.34,19.35,19.57,20.83,22.41,21.61
6,17.14,15.62,18.48,18.21,22.65,18.63
7,16.93,14.25,11.68,18.35,22.00,16.70
8,13.24,12.99,9.64,18.47,19.64,16.76
9,10.79,12.84,9.17,18.56,16.18,14.89
10,8.31,11.55,9.26,9.78,16.69,14.65
11,7.86,10.49,7.00,10.48,16.36,14.60
12,8.31,10.15,4.62,11.05,12.97,14.69
13,8.71,9.95,5.31,11.53,12.13,14.73
14,8.27,8.95,5.95,7.75,11.50,14.69
15,6.20,6.67,4.90,8.29,10.95,14.62
16,4.18,6.91,4.23,8.77,11.43,14.62
17,4.35,7.31,4.75,9.18,11.86,,
18,4.24,6.95,5.19,9.00,12.21,,
19,2.14,5.75,4.82,9.09,12.50,,
20,1.97,5.34,5.24,9.32,12.69,,
21,0.72,4.63,5.52,9.51,11.83,,
22,1.01,4.88,3.92,6.68,11.96,,
23,0.32,4.71,3.74,6.86,12.05,,
24,0.56,4.47,3.50,6.10,12.11,,
25,-0.43,3.88,2.66,6.26,12.14,,
26,-0.78,3.87,2.60,5.40,12.17,,
27,-0.88,2.86,2.34,5.51,12.19,,
28,-0.69,2.85,2.40,5.06,12.19,,
29,-0.73,2.91,2.50,5.15,,,
30,-0.60,2.70,2.60,5.22,,,
31,-0.50,2.76,2.66,5.28,,,
32,-0.41,2.62,2.47,5.33,,,
33,-0.35,2.19,2.38,5.36,,,
34,-0.35,2.23,2.33,5.38,,,
35,-0.81,2.27,2.21,5.38,,,
36,-1.02,2.27,2.21,5.38,,,
