Months,2010,2011,2012,2013
1,14.64,16.30,19.54,19.16
2,14.67,16.34,19.54,19.15
3,14.64,16.27,19.49,19.13
4,14.61,16.22,19.38,19.06
5,14.47,15.61,19.01,18.82
6,14.17,14.98,18.46,18.36
7,13.67,14.27,17.62,17.96
8,12.94,13.66,16.75,17.49
9,12.45,12.81,15.93,17.03
10,12.11,12.06,15.26,16.61
11,11.62,11.44,14.66,16.40
12,10.98,11.19,14.28,16.18
13,10.56,10.62,13.64,15.94
14,9.95,10.40,13.14,15.83
15,9.63,9.98,12.55,15.78
16,9.17,9.71,12.12,15.71
17,9.03,9.38,11.73,15.71
18,8.94,9.07,11.48,
19,8.77,8.91,11.22,
20,8.71,8.66,10.96,
21,8.52,8.55,10.80,
22,8.47,8.45,10.68,
23,8.40,8.28,10.61,
24,8.27,8.07,10.53,
25,8.14,7.98,10.50,
26,7.94,7.79,10.44,
27,7.79,7.72,10.42,
28,7.62,7.58,10.41,
29,7.55,7.54,10.41,
30,7.49,7.47,,
31,7.45,7.42,,
32,7.42,7.41,,
33,7.36,7.40,,
34,7.36,7.39,,
35,7.35,7.37,,
36,7.31,7.37,,
37,7.27,7.36,,
38,7.20,7.35,,
39,7.19,7.36,,
40,7.11,7.35,,
41,7.11,7.35,,
42,7.03,,,
43,7.03,,,
44,7.03,,,
45,7.03,,,
46,7.02,,,
47,7.02,,,
48,7.02,,,
