Months,2010,2011,2012,2013
1,20.63,22.42,25.38,26.45
2,20.60,22.50,25.34,26.39
3,20.60,22.44,25.26,26.34
4,20.58,22.37,24.95,26.25
5,20.08,21.83,23.98,25.50
6,18.94,21.81,23.29,24.67
7,19.10,20.66,21.84,23.41
8,19.18,19.42,20.77,22.26
9,17.54,17.96,19.81,21.23
10,16.55,16.80,18.51,20.24
11,16.69,15.36,17.60,19.82
12,16.16,14.60,17.22,19.45
13,15.83,13.12,16.15,19.16
14,14.61,12.41,15.36,19.05
15,13.88,12.01,14.45,19.01
16,13.74,11.62,13.94,18.82
17,13.88,11.02,13.63,,
18,13.84,10.25,13.44,,
19,13.59,9.79,13.12,,
20,12.98,9.45,12.98,,
21,12.59,8.82,12.57,,
22,12.57,8.81,12.36,,
23,12.20,8.88,12.32,,
24,12.35,8.53,12.10,,
25,12.04,8.70,12.07,,
26,11.92,8.39,12.00,,
27,11.41,8.16,12.00,,
28,10.85,8.04,11.97,,
29,10.68,8.10,11.98,,
30,10.47,8.04,,,
31,10.41,8.09,,,
32,10.14,8.09,,,
33,9.82,8.15,,,
34,9.72,8.09,,,
35,9.78,8.06,,,
36,9.70,8.11,,,
37,9.56,8.11,,,
38,9.44,8.07,,,
39,9.35,8.08,,,
40,9.12,8.08,,,
41,9.20,,,,
42,9.11,,,,
43,9.15,,,,
44,9.04,,,,
45,9.03,,,,
46,9.04,,,,
47,9.05,,,,
48,9.05,,,,
